AA:AA:AA:88:88:03,AA:AA:AA:11:22:38,AA:AA:AA:11:22:37,AA:AA:AA:11:22:34,AA:AA:AA:11:22:35,AA:AA:AA:11:22:36,AA:AA:AA:88:88:02,AA:AA:AA:88:88:01
319.23309532085096,532.055158868085,561.0763493517986,541.7288890293229,483.6865080618954,474.0127779006575,357.9280159658026,241.8432540309477
483.85935677160944,787.4573845498742,844.3820147582987,853.8694531263695,853.8694531263695,777.9699461818034,531.2965486119633,436.42216493125557
483.72403748703726,1006.9357515036286,967.4480749740745,967.4480749740745,730.5220157967502,720.6500966643616,572.5713096785339,641.6747436052535
458.09828539598993,906.6528565128967,858.9342851174811,858.9342851174811,725.3222852103174,572.6228567449874,534.4479996286549,276.7677140934106
450.0847121151133,890.5931537596923,919.3219651712952,928.8982356418296,813.9829899954177,526.694875879388,679.9152034079372,593.7287691731282
617.103862453827,958.8844631974849,996.8600855023359,958.8844631974849,835.4636907067196,655.0794847586778,569.6343345727634,446.21356208199796
432.1996445415352,995.938311334842,930.1688002089562,948.9600891020664,582.529955686417,657.6951112588579,563.7386667933067,347.63884452253916
451.5858076380868,980.0372846613799,989.6454933345307,980.0372846613799,759.0484851789118,624.5335637548009,595.7089377353485,432.36939029178524
485.9806227460555,652.8097917484328,725.3442130538142,739.8510973148905,623.7960232262802,384.4324329185215,355.41866439636897,485.9806227460555
689.0347805373556,1148.3913008955926,1167.5311559105191,1062.2619533284233,918.7130407164741,545.4858679254065,899.5731857015476,660.3249980149658
435.4595230456394,908.7850915735083,908.7850915735083,965.5841597968526,851.9860233501641,577.4571936040002,539.5911481217706,520.6581253806559
588.4304747732815,827.7920238335995,817.8186259560862,837.7654217111127,917.5526047312187,588.4304747732815,478.7230981206358,608.377270528308
587.6245692188554,796.1365131352235,871.9590381957211,890.9146694608454,824.5699600329101,587.6245692188554,445.4573347304227,483.36859726067144
489.92162289405775,789.8736369108278,949.8480443864386,939.8496439192129,839.8656392469562,569.9088266318631,639.8976299024428,619.9008289679915
526.2235470111823,824.0859321118515,853.8721706219184,883.6584091319853,794.2996936017846,615.5822625413831,655.2972472214723,635.4397548814277
633.1273233472737,777.0198968352904,882.5411173931693,863.3554409281004,690.6843527424803,796.2055733003593,633.1273233472737,450.8633969291191
402.2589242817554,890.7161894810298,814.0954419987906,823.6730354340706,574.6556061167934,660.8539470343125,718.3195076459917,737.4746945165515
591.0056419052844,1004.7095912389834,906.2086509214361,1004.7095912389834,650.1062060958128,788.0075225403792,630.4060180323033,531.905077714756
381.00720457021083,657.2374278836137,752.4892290261663,847.741030168719,723.9136886834006,295.28058354191336,514.3597261697846,495.30936594127405
507.50374980651685,890.5254477736994,861.7988204261607,890.5254477736994,861.7988204261607,497.92820735733727,804.3455657310833,555.3814620524147
577.5513083828081,975.2095862857251,937.3373693425901,956.2734778141577,738.5082303911316,426.06244061026825,691.167959212213,520.7429829681056
477.9449514800389,945.9327164709103,975.8042759384128,776.6605461550632,657.1743082850535,497.8593244583739,647.2171217958861,607.3883758392161
787.4380240975552,787.4380240975552,825.8496350291432,941.0844678239073,652.997385836997,614.5857749054089,518.5567475764387,518.5567475764387
